               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.026783,            0.013755,            0.030363,             0.69905,             0.75157,             0.77285,             0.62644,              0.0146,           0.0061134,            0.011448,            0.002872,            0.002872,            0.002872
                  38,            0.026375,            0.013701,             0.02969,             0.70208,             0.75833,             0.77615,             0.63047,            0.014506,            0.006095,            0.011235,            0.002674,            0.002674,            0.002674
                  39,            0.025974,            0.013589,            0.029081,             0.70822,             0.75785,             0.77955,              0.6342,            0.014421,           0.0060678,            0.011024,            0.002476,            0.002476,            0.002476
                  40,            0.025762,            0.013485,            0.028119,             0.71362,              0.7602,             0.78326,             0.63818,            0.014339,           0.0060397,            0.010784,            0.002278,            0.002278,            0.002278
                  41,            0.025237,            0.013344,              0.0269,             0.71121,             0.76235,             0.78675,             0.64252,            0.014264,           0.0060169,            0.010543,             0.00208,             0.00208,             0.00208
                  42,            0.024807,            0.013306,            0.026603,              0.7162,             0.76645,             0.79014,              0.6462,            0.014175,           0.0059938,            0.010322,            0.001882,            0.001882,            0.001882
                  43,             0.02428,            0.013254,            0.025715,             0.72772,             0.76674,             0.79325,             0.65006,            0.014087,           0.0059697,            0.010093,            0.001684,            0.001684,            0.001684
                  44,            0.023856,            0.013103,             0.02474,             0.72927,             0.77326,             0.79681,             0.65411,            0.014006,           0.0059435,           0.0098053,            0.001486,            0.001486,            0.001486
                  45,             0.02328,            0.012983,            0.023812,             0.73047,             0.78004,             0.80048,             0.65839,            0.013919,           0.0059173,           0.0095541,            0.001288,            0.001288,            0.001288
                  46,            0.022641,            0.012872,            0.022698,             0.73538,             0.77898,             0.80398,             0.66289,            0.013828,           0.0058913,           0.0093152,             0.00109,             0.00109,             0.00109
                  47,            0.022034,            0.012803,            0.021796,             0.73649,             0.78368,             0.80753,             0.66719,            0.013741,           0.0058627,           0.0090792,            0.000892,            0.000892,            0.000892
                  48,             0.02127,            0.012634,            0.020802,             0.74261,             0.78174,             0.81026,              0.6708,            0.013665,           0.0058357,           0.0088648,            0.000694,            0.000694,            0.000694
