               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.034724,0.016201,0.10513,0.52969,0.29382,0.22099,0.1699,0.020025,0.0065032,0.065348,0.003333,0.003333,0.070003
1,0.035191,0.014869,0.069682,0.56219,0.50199,0.45455,0.36066,0.018478,0.0063589,0.044027,0.0066003,0.0066003,0.039937
2,0.036454,0.015443,0.062958,0.58635,0.53393,0.50304,0.40039,0.018394,0.0064093,0.039995,0.0098016,0.0098016,0.0098053
3,0.034995,0.01525,0.05664,0.60152,0.56856,0.54666,0.44063,0.017596,0.006287,0.03643,0.009703,0.009703,0.009703
4,0.033659,0.014827,0.050814,0.56863,0.59268,0.57689,0.46905,0.017216,0.0061932,0.034276,0.009703,0.009703,0.009703
5,0.032787,0.014561,0.047052,0.56356,0.61037,0.59818,0.48821,0.016878,0.0061302,0.032866,0.009604,0.009604,0.009604
6,0.032107,0.014462,0.044727,0.56419,0.62592,0.61289,0.50219,0.016644,0.0060837,0.031859,0.009505,0.009505,0.009505
7,0.03194,0.014316,0.042828,0.57118,0.63799,0.62492,0.51405,0.016477,0.0060449,0.031,0.009406,0.009406,0.009406
8,0.031529,0.0142,0.041578,0.57958,0.64958,0.6363,0.52514,0.016284,0.0060062,0.030211,0.009307,0.009307,0.009307
9,0.031277,0.014183,0.040753,0.58643,0.65667,0.64624,0.53483,0.016149,0.0059774,0.029497,0.009208,0.009208,0.009208
10,0.031,0.014116,0.03972,0.5961,0.66195,0.65496,0.54336,0.016037,0.0059517,0.028838,0.009109,0.009109,0.009109
11,0.03109,0.014156,0.039413,0.60476,0.66545,0.66376,0.55071,0.015941,0.0059694,0.028236,0.00901,0.00901,0.00901
12,0.030898,0.014104,0.038723,0.60926,0.67707,0.67153,0.55759,0.015837,0.0059363,0.0277,0.008911,0.008911,0.008911
13,0.030765,0.014017,0.03813,0.6179,0.68006,0.67879,0.56461,0.015744,0.0059053,0.027162,0.008812,0.008812,0.008812
14,0.030711,0.013997,0.037794,0.62217,0.68683,0.68477,0.57082,0.015659,0.0058853,0.026691,0.008713,0.008713,0.008713
15,0.03046,0.013906,0.036802,0.62701,0.69399,0.69137,0.57775,0.015578,0.0058637,0.026252,0.008614,0.008614,0.008614
16,0.030411,0.013909,0.036361,0.63202,0.69788,0.69642,0.58338,0.015481,0.0058416,0.025856,0.008515,0.008515,0.008515
17,0.030321,0.01394,0.036324,0.64054,0.69977,0.70147,0.58833,0.015398,0.0058184,0.025505,0.008416,0.008416,0.008416
18,0.030253,0.013848,0.035733,0.6441,0.70238,0.70545,0.59256,0.015324,0.0058039,0.025201,0.008317,0.008317,0.008317
19,0.030093,0.01381,0.035642,0.64727,0.70596,0.70899,0.59612,0.015256,0.0057825,0.024942,0.008218,0.008218,0.008218
