,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
텐동하나 마산점,,,,,,,"텐동하나(天丼花)
9,900원
주문하기","에비텐동(海老天丼)
12,900원
주문하기","오샤레텐동
14,900원
주문하기","마산아구텐동
13,900원
주문하기","하나(꽃)토마토
3,500원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다채,"제육쌈밥정식
제육쌈밥정식
9,000원","수육쌈밥정식
수육쌈밥정식
10,000원","고등어조림쌈밥정식
고등어조림쌈밥정식
7,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나라일식,"스시 , 단품요리
스시 , 단품요리
모듬초밥 연어초밥 새우초밥 소고기초밥 초 밥
변동","점심 사시미코스
점심 사시미코스
점심특선 B 30,000 점심특선 A 40,000
30,000원","이미지 준비중
죽코스
죽 -> 샐러드 -> 진미 -> 모듬생선회 -> 초밥 -> 구이요리 -> 튀김 -> 식가 -> 후식
50,000원","이미지 준비중
매코스
샐러드 -> 전채 -> 계절요리 -> 생선회 -> 참치 -> 초밥 -> 메로구이 -> 생선요리 -> 튀김 -> 식사 -> 후식
70,000원","이미지 준비중
송코스
진미 -> 전채 -> 돔생선회 ->계절요리 ->참치 ->랍스터 ->초밥 -> 메로구이 -> 생선요리 -> 튀김 -> 식사 ->후식
90,000원","모듬초밥도시락
모듬초밥도시락
초밥12개 연어샐러드 고구마새우튀김 칠리새우 장국들어갑니다
22,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정희옥스시 경남대점,,,,,,"1인세트(모듬초밥10p+왕새우튀김1p+서비스2p)
11,000원
주문하기","모듬초밥(10p)+(서비스2p)
9,900원
주문하기","오늘의초밥(10p)+(서비스2p)
17,900원
주문하기","생연어초밥(10p)+(서비스2p)
13,900원
주문하기","광어초밥(10p)+(서비스2p)
15,900원
주문하기","사케동+(서비스 초밥2p)
13,900원
주문하기",,,,,,,,,,#우동,#메뉴,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창포한방족발,"한방족발
10,000원","삼겹수육
15,000원","한우곱창전골
10,000원","한우내장수육
10,000원","선지국
5,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신세계매운갈비찜 본점,,,,,"[[특별세일]]돼지갈비찜 랭킹1등(2인분)
24,000원
주문하기","[[특별세일]]소갈비찜 랭킹1등(2인분)
28,000원
주문하기","[[특별세일]] 돼지SET(돼지2인분+주먹밥+순살닭튀김+쥬시쿨)
29,000원
주문하기","[[특별세일]] 소SET(소2인분+주먹밥+순살닭튀김+쥬시쿨)
33,000원
주문하기","[[인기]]치즈 돼지갈비찜(2인분)
27,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카페올두,"몰티져스 라떼
몰티져스 라떼
대표
달콤한 쿠키 크림에 몰티져스가 토핑된 크림라떼 :)
변동","단호박 갸또
단호박 갸또
대표
부드러운 단호박 크림과 꾸덕한 단호박 갸또의 만남 :)
변동","아메리카노
아메리카노
산미가 적고 고소한 맛의 디저트와 잘 어울리는 아메리카노 :)
4,500원","오션에이드
오션에이드
귀여운 오리가 바다에 둥둥 떠 있는 모습의 새콤달콤 오션에이드 (패션후르츠 + 블루레몬)
변동","바닐라라떼
바닐라라떼
진한 풍미의 바닐라향이 가득한 디저트와 잘 어울리는 바닐라 라떼 :)
변동","토마토바질에이드
토마토바질에이드
달콤한 토마토와 향긋한 바질의 조합이 잘 어울리는 달콤상큼한 토마토 바질 에이드
변동",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새벽네시반R,"숙성돼지모둠(제주흑돼지삼겹+이베리코모듬)
대표
11,000원","제주흑돼지삼겹
13,000원","55일숙성목살
10,000원","이베리코특수부위
12,000원","드라이에이징 한우
35,000원","와규모둠
23,000원","와규등심
23,000원","와규갈빗살
21,000원","와규새우살
29,000원","와규 특수부위
25,000원","새네반 와규 한정 모듬
129,000원","된장찌개
5,000원","냉면(물/비빔)
6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브뤼셀 마산점,COFFEES,CHOCOLATE,BEVERAGES,ADE,TEA,"에스프레소 더블
에디오피아 40% + 멕시코 40% + 브라빌 20%
3,500원","아메리카노
에디오피아 40% + 멕시코 40% + 브라빌 20%
3,500원","카페라떼
에디오피아 40% + 멕시코 40% + 브라빌 20%
4,500원","카푸치노
에디오피아 40% + 멕시코 40% + 브라빌 20%
5,000원","바닐라 커피
에디오피아 40% + 멕시코 40% + 브라빌 20%
5,000원","초콜릿 커피
에디오피아 40% + 멕시코 40% + 브라빌 20%
5,000원","카레멜 커피
에디오피아 40% + 멕시코 40% + 브라빌 20%
5,000원","아인슈페너
크림라떼, 에디오피아 40% + 멕시코 40% + 브라빌 20%
6,500원","그린티 크림라떼
크림라떼, 에디오피아 40% + 멕시코 40% + 브라빌 20%
6,000원","초콜릿 크림라떼(브리슈페너)
BEST, 크림라떼, 에디오피아 40% + 멕시코 40% + 브라빌 20%
6,500원","아포카토
에디오피아 40% + 멕시코 40% + 브라빌 20%
7,000원","다크초코 52%
단맛
5,500원","다크초코 65%
적당히 단맛
6,000원","다크초코 72%
BEST 카카오
6,500원","다크초코 88%
강한맛
6,500원","밀크초코 38%
단맛,짠맛
6,000원","씹히는 초콜릿
BEST
6,500원","마쉬멜로우초코
6,000원","시나몬 초코
6,000원","초콜릿 프라푸치노
7,000원","딸기 스무디
BEST
6,500원","자몽쥬스
생과일
6,500원","레몬오렌지쥬스
생과일
6,500원","딸기 라떼
6,500원","딸기 우유 쉐이크
BEST
6,500원","블루베리 스무디
6,500원","파인애플 망고 스무디
BEST
6,500원","생과일 아이스티
6,500원","모히또
6,500원","패션티에이드
BEST
6,500원","유자티
5,000원","유자에이드
5,500원","레몬티
5,500원","레몬에이드
6,000원","자몽티
BEST
5,500원","자몽에이드
BEST
6,500원","베리베리에이드
6,500원","라임패션에이드
6,500원","마리아쥬 프레르
6,500원","웨딩임페리얼
A special celebration black tea
6,500원","마르코 폴로
BEST Marvellous fruity & fiowery black tea
6,500원","얼그레이
Elegant silky blend & Blue Flowers
6,500원","유기농 허브티
6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사량도횟집,"모듬회 중
90,000원","모듬회 특대
110,000원","향어 중
60,000원","우럭매운탕
20,000원","우럭지리탕
20,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하라식당 경남대점,추천,연어,"덮밥,우동",샐러드,사이드메뉴,음료,주류,"생연어스시(10p)대표
18,000원","생연어스시(12p)대표
20,000원","규동대표
8,500원","나가사끼우동대표
9,000원","연어샐러드대표
22,000원","에비후라이(2p)대표
3,000원","에비후라이(4p)대표
5,000원","에비후라이(8p)대표
10,000원","연어사시미
36,000원","연어사시미(반)
22,000원","사케동(13p)
19,000원","그릴연어스시(10p)
18,000원","그릴연어스시(12p)
20,000원","생연어스시(10p)대표
18,000원","생연어스시(12p)대표
20,000원","규동대표
8,500원","매콤규동
9,000원","김치규동
9,000원","가라아게동
8,500원","가츠동
8,500원","에비동
9,000원","나가사끼우동대표
9,000원","공기밥
1,000원","양념밥
1,500원","연어샐러드대표
22,000원","소고기샐러드
17,000원","치킨샐러드
14,000원","교자(6p)
5,000원","타코야끼(6p)
5,000원","타코야끼(9p)
7,000원","치즈고구마고로케(4p)
5,000원","에비후라이(2p)대표
3,000원","에비후라이(4p)대표
5,000원","에비후라이(8p)대표
10,000원","코카콜라
2,000원","환타(파인)
2,000원","스프라이트
2,000원","분다버그 핑크자몽
4,500원","분다버그 레몬라임
4,500원","분다버그 트로피컬망고
4,500원","카스
4,500원","진로
소주
4,500원","간바레오또상(사케)
35,000원","도쿠리사케(사케)
9,000원","테라
4,500원","화이트
소주
4,000원","붐베이사파이어
하이볼
5,500원","피치트리
하이볼
5,500원","사케하이볼
하이볼
5,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도형민식당 경남대점,"닭안심 버섯 샐러드
닭안심 버섯 샐러드
9,900원","매운 꽃게 크림 파스타
매운 꽃게 크림 파스타
10,900원","새우 오일 파스타
새우 오일 파스타
8,900원","베이컨 크림 파스타
베이컨 크림 파스타
9,900원","살치살 스테이크 150g
살치살 스테이크 150g
19,900원","옥수수 모닝빵
옥수수 모닝빵
2,000원","닭안심버섯필라프
닭안심버섯필라프
9,900원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
골목집,"갈치조림(1인분)
10,000원","돼지주물럭(250g)
공기밥은 별도로 주문 하셔야 합니다.
8,000원","아귀탕
8,000원","아귀매운탕
9,000원","된장찌개
7,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
샤브향 마산해운점,,,,,"월남쌈 소고기 샤브(2인분(260g))
32,000원
주문하기","월남쌈 소고기 샤브(3인분(390g))
48,000원
주문하기","월남쌈 한우 샤브(2인분(260g))
40,000원
주문하기","월남쌈 한우 샤브(3인분(390g))
60,000원
주문하기","월남쌈 소고기 버섯 샤브(2인분(260g))
42,000원
주문하기","월남쌈 소고기 버섯 샤브(3인분(390g))
63,000원
주문하기","월남쌈 한우 버섯 샤브(2인분(260g))
50,000원
주문하기","월남쌈 한우 버섯 샤브(3인분(390g))
75,000원
주문하기",,,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네이버후드,"라떼
라떼
대표
4,000원","이미지 준비중
밀크티
대표
5,000원","이미지 준비중
아메리카노
3,500원","이미지 준비중
스콘
4,500원","이미지 준비중
애플시나몬 스콘
4,000원","이미지 준비중
솔티 카라멜 스콘
4,000원","이미지 준비중
애플크럼블
4,000원","이미지 준비중
달콤한 라떼
4,500원","이미지 준비중
네이버후드 커피
5,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
