Class     Images     Labels          P          R     mAP@.5 mAP@.5:.95: 100%|██████████| 3707/3707 [15:24<00:00,  4.01it/s
                 123     118603        437      0.759      0.883      0.912      0.775
                 124     118603         23      0.815      0.765      0.888      0.826
                 125     118603        196       0.69      0.819      0.854      0.684
                 126     118603       1006       0.72      0.815      0.826      0.509
                 127     118603       1068      0.719      0.884      0.899      0.756
                 128     118603        919      0.911       0.97       0.98      0.835
                 129     118603        540      0.578      0.911      0.699      0.644
                 130     118603        439      0.911      0.957      0.976      0.906
                 131     118603        148      0.832       0.98      0.985      0.934
                 132     118603         51      0.875      0.706      0.842      0.738
                 133     118603        420      0.833      0.964      0.964      0.902
                 134     118603       1163      0.936      0.918      0.977      0.848
                 135     118603        222      0.559      0.874      0.728      0.655
                 136     118603        315      0.905      0.959      0.973      0.901
                 137     118603       1910      0.892      0.936      0.961      0.862
                 138     118603       1240      0.926       0.95       0.97      0.825
                 139     118603        211      0.862      0.896      0.941      0.817
                 140     118603        161        0.5      0.273      0.387       0.32
                 141     118603        683      0.804      0.931      0.909      0.835
                 142     118603         73      0.732       0.89       0.89      0.778
                 143     118603       1330      0.539      0.564       0.56       0.48
                 144     118603       1339      0.842      0.933       0.94      0.777
                 145     118603       1452      0.606      0.459      0.556      0.359
                 146     118603         80      0.907      0.975       0.98      0.823
                 147     118603       1967        0.8      0.761      0.832      0.694
                 148     118603       1947       0.67      0.723      0.758      0.682
                 149     118603        174      0.652       0.28      0.447      0.381
                 150     118603        173      0.491      0.719      0.538      0.323
                 151     118603        856      0.738       0.78       0.83      0.622
                 152     118603         65      0.768      0.662       0.77      0.621
                 153     118603        141      0.862      0.851      0.914       0.76
                 154     118603         48      0.932      0.792      0.892       0.75
                 155     118603        545      0.445      0.761      0.672      0.541
                 156     118603       2102      0.877      0.923      0.958      0.804
                 157     118603         69      0.895      0.866      0.934      0.858
                 158     118603        535      0.928      0.985      0.966      0.863
                 159     118603        724      0.904      0.978      0.982      0.793
