               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02679,            0.014281,            0.032706,             0.70875,             0.65211,             0.67902,              0.5471,            0.013862,           0.0059394,             0.01057,           0.0056688,           0.0056688,           0.0056688
                  37,            0.026516,            0.014249,            0.032478,             0.70783,             0.65576,              0.6817,             0.54927,            0.013819,            0.005935,            0.010454,            0.005545,            0.005545,            0.005545
                  38,            0.026499,            0.014239,            0.032277,             0.70612,             0.65668,              0.6841,             0.55202,            0.013794,           0.0059303,            0.010336,           0.0054212,           0.0054212,           0.0054212
                  39,            0.026353,            0.014194,            0.031723,             0.72027,             0.65224,             0.68646,             0.55384,             0.01374,            0.005929,            0.010198,           0.0052975,           0.0052975,           0.0052975
                  40,            0.026346,             0.01416,             0.03174,             0.71793,             0.65302,              0.6875,             0.55511,            0.013707,           0.0059144,            0.010161,           0.0051737,           0.0051737,           0.0051737
                  41,            0.026316,            0.014197,            0.031705,             0.71689,             0.65639,             0.69086,             0.55849,            0.013673,           0.0059059,            0.010065,             0.00505,             0.00505,             0.00505
                  42,            0.026137,             0.01414,            0.031383,             0.71603,             0.66409,             0.69526,             0.56273,            0.013636,           0.0058891,           0.0099126,           0.0049263,           0.0049263,           0.0049263
                  43,            0.025985,            0.014123,            0.031178,             0.71997,             0.66457,             0.69634,             0.56377,            0.013605,           0.0058827,           0.0098712,           0.0048025,           0.0048025,           0.0048025
                  44,            0.025798,            0.014087,            0.030634,             0.72508,             0.66506,             0.69928,             0.56648,            0.013556,           0.0058738,           0.0096853,           0.0046788,           0.0046788,           0.0046788
                  45,            0.025801,            0.014056,            0.030453,             0.72863,             0.66421,             0.70177,             0.56925,            0.013492,           0.0058791,           0.0096149,            0.004555,            0.004555,            0.004555
                  46,            0.025683,            0.014012,            0.030331,             0.71713,             0.67223,             0.70557,             0.57244,            0.013437,           0.0058633,           0.0094473,           0.0044313,           0.0044313,           0.0044313
                  47,             0.02555,            0.014007,            0.030038,              0.7174,              0.6779,             0.70752,             0.57455,            0.013401,           0.0058432,           0.0093596,           0.0043075,           0.0043075,           0.0043075
                  48,            0.025436,            0.013969,            0.029727,             0.71979,             0.67932,             0.70897,              0.5767,            0.013368,             0.00583,           0.0092547,           0.0041837,           0.0041837,           0.0041837
                  49,            0.025236,             0.01389,            0.028938,             0.72126,             0.67727,              0.7134,             0.58037,            0.013315,           0.0058194,           0.0090495,             0.00406,             0.00406,             0.00406
                  50,            0.025168,            0.013906,            0.029257,              0.7238,             0.68232,             0.71533,             0.58233,            0.013289,           0.0058094,           0.0089431,           0.0039362,           0.0039362,           0.0039362
                  51,            0.025097,            0.013865,            0.029064,             0.72375,             0.68551,             0.71742,             0.58441,            0.013243,           0.0058032,           0.0087992,           0.0038125,           0.0038125,           0.0038125
                  52,            0.024973,            0.013831,            0.028633,             0.72081,             0.68985,             0.72127,             0.58874,            0.013206,           0.0057973,           0.0086896,           0.0036888,           0.0036888,           0.0036888
                  53,            0.024836,            0.013828,            0.028527,             0.71792,             0.69847,             0.72438,             0.59153,            0.013173,           0.0057878,           0.0086235,            0.003565,            0.003565,            0.003565
                  54,            0.024599,            0.013758,            0.027897,             0.72443,             0.69758,             0.72721,             0.59407,            0.013129,           0.0057785,           0.0085011,           0.0034413,           0.0034413,           0.0034413
                  55,            0.024527,            0.013727,            0.027589,             0.72349,             0.70114,             0.72991,             0.59657,            0.013087,           0.0057704,           0.0083833,           0.0033175,           0.0033175,           0.0033175
                  56,            0.024441,            0.013697,            0.027416,             0.73324,             0.69744,             0.73327,             0.59999,            0.013036,           0.0057499,           0.0082482,           0.0031938,           0.0031938,           0.0031938
                  57,            0.024236,            0.013624,            0.026756,             0.72146,             0.70785,             0.73588,             0.60308,            0.012981,           0.0057272,           0.0081311,             0.00307,             0.00307,             0.00307
                  58,            0.024039,             0.01359,            0.026503,             0.72815,             0.70933,             0.73881,             0.60661,            0.012912,            0.005707,           0.0079781,           0.0029462,           0.0029462,           0.0029462
                  59,            0.023884,            0.013568,            0.026194,             0.73298,             0.71089,             0.74189,             0.60934,            0.012857,           0.0056883,           0.0078114,           0.0028225,           0.0028225,           0.0028225
                  60,            0.023757,            0.013544,            0.025977,             0.73486,             0.71308,             0.74427,             0.61151,            0.012809,           0.0056698,           0.0076916,           0.0026987,           0.0026987,           0.0026987
                  61,            0.023516,            0.013461,            0.025328,             0.72881,             0.72356,              0.7488,              0.6157,            0.012759,           0.0056658,           0.0075343,            0.002575,            0.002575,            0.002575
                  62,            0.023389,            0.013431,            0.025008,             0.73902,             0.72098,              0.7524,             0.61944,            0.012708,           0.0056533,           0.0074059,           0.0024513,           0.0024513,           0.0024513
                  63,            0.023158,            0.013365,            0.024614,             0.74009,             0.72532,             0.75601,             0.62312,            0.012651,           0.0056298,           0.0072243,           0.0023275,           0.0023275,           0.0023275
                  64,            0.022964,            0.013333,            0.024295,              0.7424,             0.72713,             0.75989,             0.62713,            0.012616,           0.0056129,           0.0071007,           0.0022038,           0.0022038,           0.0022038
                  65,            0.022769,            0.013269,            0.023648,             0.74999,             0.73025,             0.76367,             0.63103,            0.012533,           0.0055982,           0.0069465,             0.00208,             0.00208,             0.00208
                  66,            0.022601,            0.013195,            0.023387,             0.75141,             0.73237,             0.76665,             0.63441,            0.012487,            0.005588,           0.0068307,           0.0019563,           0.0019563,           0.0019563
                  67,             0.02239,            0.013187,            0.023408,             0.74169,             0.74244,             0.76945,             0.63712,            0.012441,           0.0055672,           0.0067064,           0.0018325,           0.0018325,           0.0018325
                  68,            0.022125,             0.01308,            0.022571,             0.74938,             0.74429,             0.77372,             0.64183,            0.012376,           0.0055442,             0.00655,           0.0017087,           0.0017087,           0.0017087
                  69,            0.021881,            0.013019,            0.021986,              0.7518,             0.74646,             0.77686,             0.64487,            0.012328,           0.0055275,           0.0063888,            0.001585,            0.001585,            0.001585
                  70,            0.021715,            0.012967,            0.021509,             0.75279,             0.75029,             0.77987,             0.64859,            0.012235,           0.0055093,           0.0062606,           0.0014612,           0.0014612,           0.0014612
                  71,            0.021306,            0.012868,             0.02083,             0.74893,             0.75391,             0.78328,             0.65185,            0.012156,           0.0054863,           0.0061263,           0.0013375,           0.0013375,           0.0013375
                  72,            0.021064,             0.01279,            0.020468,              0.7532,             0.75797,             0.78729,              0.6559,            0.012098,           0.0054711,           0.0059761,           0.0012138,           0.0012138,           0.0012138
                  73,            0.020712,            0.012714,            0.019787,             0.74986,             0.76142,             0.79099,             0.66022,            0.012022,           0.0054417,           0.0058074,             0.00109,             0.00109,             0.00109
                  74,            0.020316,            0.012598,            0.018995,             0.74973,             0.76454,             0.79475,             0.66505,            0.011953,           0.0054183,           0.0056456,          0.00096625,          0.00096625,          0.00096625
                  75,            0.019902,            0.012487,            0.018418,             0.75267,             0.76927,             0.79952,             0.66995,             0.01187,           0.0053912,           0.0054741,           0.0008425,           0.0008425,           0.0008425
                  76,            0.019576,              0.0124,             0.01765,             0.75514,             0.77567,              0.8034,             0.67404,            0.011787,            0.005377,            0.005317,          0.00071875,          0.00071875,          0.00071875
                  77,            0.019026,            0.012265,            0.016799,             0.76413,             0.77386,             0.80634,             0.67784,            0.011699,           0.0053482,           0.0051593,            0.000595,            0.000595,            0.000595
                  78,            0.018554,            0.012158,            0.016155,             0.76331,             0.78044,             0.81016,             0.68251,             0.01162,            0.005324,           0.0049924,          0.00047125,          0.00047125,          0.00047125
                  79,            0.018022,            0.012018,            0.015257,             0.76815,             0.78364,             0.81373,               0.687,            0.011534,           0.0052943,           0.0048264,           0.0003475,           0.0003475,           0.0003475
